3.282	0.53152
6.611	2.5052
9.506	2.62
10.917	1.483
13.755	0.33982
15.998	2.2677
16.982	3.8102
17.731	4.3796
18.354	5.0024
18.981	5.296
19.552	4.8171
20.563	4.5226
20.682	5.2976
21.069	4.2727
21.575	4.0622
22.083	3.6948
23.106	2.6595
24.818	2.014
26.188	2.8347
26.871	3.4712
27.367	4.1704
29.74	6.334
31.371	7.282
32.567	7.33
33.83	6.71
34.085	6.339
35.091	6.585
37.733	6.886
39.306	7.065
40.621	8.33
43.133	9.517
45.776	9.827
48.298	9.113
51.205	7.353
53.667	6.401
56.696	5.5019
58.718	4.6691
61.559	3.963
63.905	2.7996
66.748	2.2447
69.162	1.4062
71.505	1.0516
73.977	0.7289
76.32	0.55205
78.591	0.50546
81.301	0.46873
84.663	0.27568
88.269	0.18754
91.631	0.1103
95.159	0.10559
98.202	0.26604
103.975	0.10376
