2.921	0.24836
5.099	0.4103
5.913	0.20732
7.661	0.0005959
7.963	0.006547
8.743	0.17305
9.787	0.3673
11.241	0.3524
12.055	0.19904
13.445	0.03035
13.52	0.05842
14.403	0.11564
16.254	0.27444
17.793	0.17333
18.771	0.06911
20.305	0.07621
21.512	0.14879
22.399	0.1687
24.91	0.09532
26.043	0.07523
27.01	0.10513
28.784	0.15752
30.401	0.14902
32.988	0.1279
34.763	0.17628
36.54	0.17633
38.319	0.16224
40.179	0.13923
43.493	0.12814
45.191	0.10844
48.588	0.08098
51.015	0.05962
52.635	0.03766
54.008	0.04152
56.597	0.027734
59.593	0.013634
62.019	0.01138
63.963	0.006611
64.933	0.006612
67.927	0.004062
70.517	0.0026386
73.268	0.001621
76.181	0.0010979
78.773	0.0005472
